Date,Course,Hole,Shot,Distance,Club,Lie,Distance Lie,Exp,Strokes,Distance Label,Direction_Result,Distance_Result,Penalty,Par,Updated Distance,Updated Distance Cat,Relative to Par
"February 8, 2022",Blackjack,16,1,380,3W,T,380T,3.96,0.11,250 +,,,0,4,380,250 +,-3
"February 8, 2022",Blackjack,16,2,125,50,F,125F,2.85,0.06,101-125,,,0,4,125,101-125,-2
"February 8, 2022",Blackjack,16,3,15,P,G,15G,1.79,-0.219,G 10-15,,,0,4,15,G 10-15,-1
"February 8, 2022",Blackjack,16,4,2,P,G,2G,1.009,0.009,G 0-3,,,0,4,2,G 0-3,0
"February 8, 2022",Blackjack,17,1,165,6,T,165T,2.99,-0.6,151-175,,,0,3,173,151-175,-2
"February 8, 2022",Blackjack,17,2,15,56,R,15R,2.59,0.334,0-25,,,0,3,8,0-25,-1
"February 8, 2022",Blackjack,17,3,5,P,G,5G,1.256,0.256,G 4-6,,,0,3,5,G 4-6,0
"February 8, 2022",Blackjack,18,1,420,D,T,420T,4.02,0.17,250 +,,,0,4,414,250 +,-3
"February 8, 2022",Blackjack,18,2,115,PW,F,115F,2.85,0.06,101-125,,,0,4,123,101-125,-2
"February 8, 2022",Blackjack,18,3,15,P,G,15G,1.79,-0.219,G 10-15,,,0,4,15,G 10-15,-1
"February 8, 2022",Blackjack,18,4,2,P,G,2G,1.009,0.009,G 0-3,,,0,4,2,G 0-3,0
"February 11, 2022",Blackjack,1,1,560,D,T,560T,4.74,-0.29,250 +,,,0,5,562,250 +,-4
"February 11, 2022",Blackjack,1,2,260,8,X,260X,4.03,-0.05,250 +,,,0,5,263,250 +,-3
"February 11, 2022",Blackjack,1,3,115,50,R,115R,3.08,0.202,101-125,,,0,5,114,101-125,-2
"February 11, 2022",Blackjack,1,4,20,P,G,20G,1.878,-0.131,G 16-20,,,0,5,20,G 16-20,-1
"February 11, 2022",Blackjack,1,5,2,P,G,2G,1.009,0.009,G 0-3,,,0,5,2,G 0-3,0
"February 11, 2022",Blackjack,2,1,370,D,T,370T,3.96,0.21,250 +,,,0,4,366,250 +,-3
"February 11, 2022",Blackjack,2,2,75,62,F,75F,2.75,-0.84,51-75,,,0,4,75,51-75,-2
"February 11, 2022",Blackjack,2,3,10,56,R,10R,2.59,0.537,0-25,,,0,4,6,0-25,-1
"February 11, 2022",Blackjack,2,4,3,P,G,3G,1.053,0.053,G 0-3,,,0,4,3,G 0-3,0
"February 11, 2022",Blackjack,3,1,235,2,T,235T,3.25,-0.34,226-250,,,0,3,240,226-250,-2
"February 11, 2022",Blackjack,3,2,25,56,R,25R,2.59,-0.81,0-25,,,0,3,23,0-25,-1
"February 11, 2022",Blackjack,3,3,15,P,F,15F,2.4,0.347,0-25,,,0,3,15,0-25,0
"February 11, 2022",Blackjack,3,4,3,P,G,3G,1.053,0.053,G 0-3,,,0,3,3,G 0-3,1
"February 11, 2022",Blackjack,4,1,410,2,T,410T,4.02,-0.79,250 +,,,0,4,410,250 +,-3
"February 11, 2022",Blackjack,4,2,150,8,X,150X,3.81,0.01,126-150,,,0,4,150,126-150,-2
"February 11, 2022",Blackjack,4,3,90,56,F,90F,2.8,-0.79,76-100,,,0,4,84,76-100,-1
"February 11, 2022",Blackjack,4,4,20,62,R,20R,2.59,0.589,0-25,,,0,4,16,0-25,0
"February 11, 2022",Blackjack,4,5,1,P,G,1G,1.001,0.001,G 0-3,,,0,4,1,G 0-3,1
"February 11, 2022",Blackjack,5,1,420,D,T,420T,4.02,0.32,250 +,,,0,4,415,250 +,-3
"February 11, 2022",Blackjack,5,2,60,62,F,60F,2.7,0.444,51-75,,,0,4,57,51-75,-2
"February 11, 2022",Blackjack,5,3,5,P,G,5G,1.256,0.256,G 4-6,,,0,4,5,G 4-6,-1
"February 11, 2022",Blackjack,6,1,560,D,T,560T,4.74,0.16,250 +,,,0,5,561,250 +,-4
"February 11, 2022",Blackjack,6,2,250,8,F,250F,3.58,-0.27,226-250,,,0,5,245,226-250,-3
"February 11, 2022",Blackjack,6,3,115,50,F,115F,2.85,-0.028,101-125,,,0,5,110,101-125,-2
"February 11, 2022",Blackjack,6,4,20,P,G,20G,1.878,-0.175,G 16-20,,,0,5,20,G 16-20,-1
"February 11, 2022",Blackjack,6,5,3,P,G,3G,1.053,0.053,G 0-3,,,0,5,3,G 0-3,0
"February 11, 2022",Blackjack,7,1,180,6,T,180T,3.05,-0.75,176-200,,,0,3,181,176-200,-2
"February 11, 2022",Blackjack,7,2,15,8,X,15X,2.8,-0.79,0-25,,,0,3,13,0-25,-1
"February 11, 2022",Blackjack,7,3,10,62,R,10R,2.59,-0.288,0-25,,,0,3,2,0-25,0
"February 11, 2022",Blackjack,7,4,20,P,G,20G,1.878,-0.131,G 16-20,,,0,3,20,G 16-20,1
"February 11, 2022",Blackjack,7,5,2,P,G,2G,1.009,0.009,G 0-3,,,0,3,2,G 0-3,2
"February 11, 2022",Blackjack,8,1,420,3W,T,420T,4.02,-0.06,250 +,,,0,4,420,250 +,-3
"February 11, 2022",Blackjack,8,2,185,4,F,185F,3.08,0.29,176-200,,,0,4,190,176-200,-2
"February 11, 2022",Blackjack,8,3,15,P,G,15G,1.79,-0.219,G 10-15,,,0,4,15,G 10-15,-1
"February 11, 2022",Blackjack,8,4,2,P,G,2G,1.009,0.009,G 0-3,,,0,4,2,G 0-3,0
"February 11, 2022",Blackjack,9,1,440,D,T,440T,4.08,-0.72,250 +,,,0,4,438,250 +,-3
"February 11, 2022",Blackjack,9,2,145,8,X,145X,3.8,-0.22,126-150,,,0,4,151,126-150,-2
"February 11, 2022",Blackjack,9,3,95,56,R,95R,3.02,0.23,76-100,,,0,4,100,76-100,-1
"February 11, 2022",Blackjack,9,4,15,P,G,15G,1.79,-0.219,G 10-15,,,0,4,15,G 10-15,0
"February 11, 2022",Blackjack,9,5,2,P,G,2G,1.009,0.009,G 0-3,,,0,4,2,G 0-3,1
"February 11, 2022",Blackjack,10,1,540,D,T,540T,4.65,-0.09,250 +,,,0,5,538,250 +,-4
"February 11, 2022",Blackjack,10,2,250,3W,R,250R,3.74,-0.36,226-250,,,0,5,247,226-250,-3
"February 11, 2022",Blackjack,10,3,40,8,X,40X,3.1,-0.193,26-50,,,0,5,48,26-50,-2
"February 11, 2022",Blackjack,10,4,70,P,G,70G,2.293,-0.412,G 56-75,,,0,5,70,G 56-75,-1
"February 11, 2022",Blackjack,10,5,12,P,G,12G,1.705,0.705,G 10-15,,,0,5,12,G 10-15,0
"February 11, 2022",Blackjack,11,1,400,2,T,400T,3.99,-0.09,250 +,,,0,4,400,250 +,-3
"February 11, 2022",Blackjack,11,2,120,50,R,120R,3.08,0.177,101-125,,,0,4,119,101-125,-2
"February 11, 2022",Blackjack,11,3,22,P,G,22G,1.903,-0.15,G 21-25,,,0,4,22,G 21-25,-1
"February 11, 2022",Blackjack,11,4,3,P,G,3G,1.053,0.053,G 0-3,,,0,4,3,G 0-3,0
"February 11, 2022",Blackjack,12,1,370,4,T,370T,3.96,-0.12,250 +,,,0,4,378,250 +,-3
"February 11, 2022",Blackjack,12,2,175,7,F,175F,3.08,-0.51,151-175,,,0,4,175,151-175,-2
"February 11, 2022",Blackjack,12,3,25,62,R,25R,2.59,0.075,0-25,,,0,4,29,0-25,-1
"February 11, 2022",Blackjack,12,4,8,P,G,8G,1.515,-0.494,G 7-9,,,0,4,8,G 7-9,0
"February 11, 2022",Blackjack,12,5,2,P,G,2G,1.009,0.009,G 0-3,,,0,4,2,G 0-3,1
"February 11, 2022",Blackjack,13,1,185,8,T,185T,3.05,-0.35,176-200,,,0,3,193,176-200,-2
"February 11, 2022",Blackjack,13,2,10,P,F,10F,2.4,0.253,0-25,,,0,3,10,0-25,-1
"February 11, 2022",Blackjack,13,3,4,P,G,4G,1.147,0.147,G 4-6,,,0,3,4,G 4-6,0
"February 11, 2022",Blackjack,14,1,385,D,T,385T,3.96,-0.12,250 +,,,0,4,377,250 +,-3
"February 11, 2022",Blackjack,14,2,115,50,R,115R,3.08,0.202,101-125,,,0,4,116,101-125,-2
"February 11, 2022",Blackjack,14,3,20,P,G,20G,1.878,-0.131,G 16-20,,,0,4,20,G 16-20,-1
"February 11, 2022",Blackjack,14,4,2,P,G,2G,1.009,0.009,G 0-3,,,0,4,2,G 0-3,0
"February 11, 2022",Blackjack,15,1,575,D,T,575T,4.79,0.1,250 +,,,0,5,576,250 +,-4
"February 11, 2022",Blackjack,15,2,275,2,F,275F,3.69,-0.11,250 +,,,0,5,270,250 +,-3
"February 11, 2022",Blackjack,15,3,90,56,F,90F,2.8,-0.6,76-100,,,0,5,95,76-100,-2
"February 11, 2022",Blackjack,15,4,10,P,F,10F,2.4,0.253,0-25,,,0,5,10,0-25,-1
"February 11, 2022",Blackjack,15,5,4,P,G,4G,1.147,0.147,G 4-6,,,0,5,4,G 4-6,0
"February 11, 2022",Blackjack,16,1,380,D,T,380T,3.96,0.11,250 +,,,0,4,387,250 +,-3
"February 11, 2022",Blackjack,16,2,120,50,F,120F,2.85,-0.55,101-125,,,0,4,115,101-125,-2
"February 11, 2022",Blackjack,16,3,10,P,F,10F,2.4,0.144,0-25,,,0,4,10,0-25,-1
"February 11, 2022",Blackjack,16,4,5,P,G,5G,1.256,-0.745,G 4-6,,,0,4,5,G 4-6,0
"February 11, 2022",Blackjack,16,5,1,P,G,1G,1.001,0.001,G 0-3,,,0,4,1,G 0-3,1
"February 11, 2022",Blackjack,17,1,165,6,T,165T,2.99,0.056,151-175,,,0,3,172,151-175,-2
"February 11, 2022",Blackjack,17,2,25,P,G,25G,1.934,-0.075,G 21-25,,,0,3,25,G 21-25,-1
"February 11, 2022",Blackjack,17,3,2,P,G,2G,1.009,0.009,G 0-3,,,0,3,2,G 0-3,0
"February 11, 2022",Blackjack,18,1,420,D,T,420T,4.02,-0.13,250 +,,,0,4,425,250 +,-3
"February 11, 2022",Blackjack,18,2,140,8,R,140R,3.15,-0.44,126-150,,,0,4,137,126-150,-2
"February 11, 2022",Blackjack,18,3,15,56,R,15R,2.59,0.443,0-25,,,0,4,14,0-25,-1
"February 11, 2022",Blackjack,18,4,4,P,G,4G,1.147,0.147,G 4-6,,,0,4,4,G 4-6,0
"August 1, 2022",Comanche Hills/Creeks,1,1,433,4,T,433T,4.08,-0.23,250 +,pretty left,good,0,4,440,250 +,-3
"August 1, 2022",Comanche Hills/Creeks,1,2,170,7,R,170R,3.31,0.605,151-175,slight right,good,0,4,166,151-175,-2
"August 1, 2022",Comanche Hills/Creeks,1,3,12,P,G,12G,1.705,-0.442,G 10-15,slight right,slightly long,0,4,12,G 10-15,-1
"August 1, 2022",Comanche Hills/Creeks,1,4,4,P,G,4G,1.147,0.147,G 4-6,slight right,good,0,4,4,G 4-6,0
"August 1, 2022",Comanche Hills/Creeks,2,1,409,D,T,409T,3.99,0.03,250 +,pretty left,good,0,4,414,250 +,-3
"August 1, 2022",Comanche Hills/Creeks,2,2,82,56,R,82R,2.96,-0.018,76-100,pretty left,pretty long,0,4,83,76-100,-2
"August 1, 2022",Comanche Hills/Creeks,2,3,30,P,G,30G,1.978,-0.648,G 26-35,pretty right,good,0,4,30,G 26-35,-1
"August 1, 2022",Comanche Hills/Creeks,2,4,10,P,G,10G,1.626,0.626,G 10-15,good,good,0,4,10,G 10-15,0
"August 1, 2022",Comanche Hills/Creeks,3,1,167,9,T,167T,2.99,0.056,151-175,good,good,0,3,167,151-175,-2
"August 1, 2022",Comanche Hills/Creeks,3,2,25,P,G,25G,1.934,-0.423,G 21-25,pretty left,pretty long,0,3,25,G 21-25,-1
"August 1, 2022",Comanche Hills/Creeks,3,3,6,P,G,6G,1.357,0.357,G 4-6,good,good,0,3,6,G 4-6,0
"August 1, 2022",Comanche Hills/Creeks,4,1,533,D,T,533T,4.65,-0.38,250 +,pretty right,good,0,5,539,250 +,-4
"August 1, 2022",Comanche Hills/Creeks,4,2,250,9,X,250X,4.03,0.12,226-250,good,good,0,5,246,226-250,-3
"August 1, 2022",Comanche Hills/Creeks,4,3,147,PW,F,147F,2.91,-0.68,126-150,pretty left,slightly long,0,5,152,126-150,-2
"August 1, 2022",Comanche Hills/Creeks,4,4,15,62,R,15R,2.59,0.581,0-25,good,good,0,5,11,0-25,-1
"August 1, 2022",Comanche Hills/Creeks,4,5,2,P,G,2G,1.009,0.009,G 0-3,good,good,0,5,2,G 0-3,0
"August 1, 2022",Comanche Hills/Creeks,5,1,430,2,T,430T,4.08,-0.23,250 +,pretty left,good,0,4,425,250 +,-3
"August 1, 2022",Comanche Hills/Creeks,5,2,175,4,R,175R,3.31,-0.49,151-175,pretty right,good,0,4,175,151-175,-2
"August 1, 2022",Comanche Hills/Creeks,5,3,20,56,X,20X,2.8,-0.134,0-25,good,pretty long,0,4,24,0-25,-1
"August 1, 2022",Comanche Hills/Creeks,5,4,25,P,G,25G,1.934,-0.075,G 21-25,good,good,0,4,25,G 21-25,0
"August 1, 2022",Comanche Hills/Creeks,5,5,2,P,G,2G,1.009,0.009,G 0-3,good,good,0,4,2,G 0-3,1
"August 1, 2022",Comanche Hills/Creeks,6,1,318,4,T,318T,3.79,-0.01,250 +,slight left,good,0,4,314,250 +,-3
"August 1, 2022",Comanche Hills/Creeks,6,2,100,50,F,100F,2.8,-0.134,76-100,slight left,pretty long,0,4,92,76-100,-2
"August 1, 2022",Comanche Hills/Creeks,6,3,25,P,G,25G,1.934,-0.119,G 21-25,pretty left,good,0,4,25,G 21-25,-1
"August 1, 2022",Comanche Hills/Creeks,6,4,3,P,G,3G,1.053,0.053,G 0-3,good,good,0,4,3,G 0-3,0
"August 1, 2022",Comanche Hills/Creeks,7,1,417,2,T,417T,4.02,0.04,250 +,good,good,0,4,411,250 +,-3
"August 1, 2022",Comanche Hills/Creeks,7,2,160,6,F,160F,2.98,0.275,151-175,good,good,0,4,162,151-175,-2
"August 1, 2022",Comanche Hills/Creeks,7,3,12,P,G,12G,1.705,-0.296,G 10-15,slight left,good,0,4,12,G 10-15,-1
"August 1, 2022",Comanche Hills/Creeks,7,4,1,P,G,1G,1.001,0.001,G 0-3,good,good,0,4,1,G 0-3,0
"August 1, 2022",Comanche Hills/Creeks,8,1,184,5,T,184T,3.05,0.26,176-200,slight right,good,0,3,177,176-200,-2
"August 1, 2022",Comanche Hills/Creeks,8,2,15,P,G,15G,1.79,-0.211,G 10-15,slight left,good,0,3,15,G 10-15,-1
"August 1, 2022",Comanche Hills/Creeks,8,3,1,P,G,1G,1.001,0.001,G 0-3,good,good,0,3,1,G 0-3,0
"August 1, 2022",Comanche Hills/Creeks,9,1,525,D,T,525T,4.54,-0.3,250 +,pretty left,good,0,5,527,250 +,-4
"August 1, 2022",Comanche Hills/Creeks,9,2,240,9,S,240S,3.84,-0.01,226-250,good,good,0,5,242,226-250,-3
"August 1, 2022",Comanche Hills/Creeks,9,3,110,50,F,110F,2.85,-0.55,101-125,pretty right,pretty long,0,5,112,101-125,-2
"August 1, 2022",Comanche Hills/Creeks,9,4,10,P,F,10F,2.4,0.347,0-25,good,good,0,5,10,0-25,-1
"August 1, 2022",Comanche Hills/Creeks,9,5,3,P,G,3G,1.053,0.053,G 0-3,good,good,0,5,3,G 0-3,0
"August 1, 2022",Comanche Hills/Creeks,10,1,417,D,T,417T,4.02,-0.06,250 +,pretty left,good,0,4,411,250 +,-3
"August 1, 2022",Comanche Hills/Creeks,10,2,110,PW,R,110R,3.08,0.102,101-125,slight left,good,0,4,111,101-125,-2
"August 1, 2022",Comanche Hills/Creeks,10,3,30,P,G,30G,1.978,-0.169,G 26-35,slight left,slightly long,0,4,30,G 26-35,-1
"August 1, 2022",Comanche Hills/Creeks,10,4,4,P,G,4G,1.147,0.147,G 4-6,good,good,0,4,4,G 4-6,0
"August 1, 2022",Comanche Hills/Creeks,11,1,407,D,T,407T,3.99,0.19,250 +,good,good,0,4,407,250 +,-3
"August 1, 2022",Comanche Hills/Creeks,11,2,108,50,F,108F,2.8,0.443,101-125,good,good,0,4,107,101-125,-2
"August 1, 2022",Comanche Hills/Creeks,11,3,6,P,G,6G,1.357,-0.644,G 4-6,slight right,good,0,4,6,G 4-6,-1
"August 1, 2022",Comanche Hills/Creeks,11,4,1,P,G,1G,1.001,0.001,G 0-3,good,good,0,4,1,G 0-3,0
"August 1, 2022",Comanche Hills/Creeks,12,1,177,5,T,177T,3.05,0.116,176-200,slight left,good,0,3,178,176-200,-2
"August 1, 2022",Comanche Hills/Creeks,12,2,25,P,G,25G,1.934,-0.067,G 21-25,good,good,0,3,25,G 21-25,-1
"August 1, 2022",Comanche Hills/Creeks,12,3,1,P,G,1G,1.001,0.001,G 0-3,good,good,0,3,1,G 0-3,0
"August 1, 2022",Comanche Hills/Creeks,13,1,529,2,T,529T,4.54,-0.49,250 +,pretty left,good,0,5,522,250 +,-4
"August 1, 2022",Comanche Hills/Creeks,13,2,260,8,X,260X,4.03,-0.5,250 +,good,good,0,5,257,250 +,-3
"August 1, 2022",Comanche Hills/Creeks,13,3,220,H,R,220R,3.53,-0.06,201-225,slight right,good,0,5,223,201-225,-2
"August 1, 2022",Comanche Hills/Creeks,13,4,20,62,R,20R,2.59,0.075,0-25,slight left,pretty long,0,5,23,0-25,-1
"August 1, 2022",Comanche Hills/Creeks,13,5,8,P,G,8G,1.515,-0.486,G 7-9,good,slightly short,0,5,8,G 7-9,0
"August 1, 2022",Comanche Hills/Creeks,13,6,1,P,G,1G,1.001,0.001,G 0-3,good,good,0,5,1,G 0-3,1
"August 1, 2022",Comanche Hills/Creeks,14,1,164,7,T,164T,2.99,-0.41,151-175,pretty left,pretty long,0,3,160,151-175,-2
"August 1, 2022",Comanche Hills/Creeks,14,2,10,P,F,10F,2.4,-0.305,0-25,good,pretty short,0,3,10,0-25,-1
"August 1, 2022",Comanche Hills/Creeks,14,3,12,P,G,12G,1.705,-0.296,G 10-15,good,good,0,3,12,G 10-15,0
"August 1, 2022",Comanche Hills/Creeks,14,4,1,P,G,1G,1.001,0.001,G 0-3,good,good,0,3,1,G 0-3,1
"August 1, 2022",Comanche Hills/Creeks,15,1,433,D,T,433T,4.08,-0.34,250 +,pretty right,pretty short,0,4,431,250 +,-3
"August 1, 2022",Comanche Hills/Creeks,15,2,205,5,R,205R,3.42,-0.17,201-225,pretty left,good,0,4,207,201-225,-2
"August 1, 2022",Comanche Hills/Creeks,15,3,10,56,R,10R,2.59,0.075,0-25,pretty left,pretty long,0,4,2,0-25,-1
"August 1, 2022",Comanche Hills/Creeks,15,4,8,P,G,8G,1.515,0.515,G 7-9,good,good,0,4,8,G 7-9,0
"August 1, 2022",Comanche Hills/Creeks,16,1,430,D,T,430T,4.08,-0.07,250 +,pretty right,good,0,4,435,250 +,-3
"August 1, 2022",Comanche Hills/Creeks,16,2,137,56,R,137R,3.15,0.216,126-150,pretty left,good,0,4,144,126-150,-2
"August 1, 2022",Comanche Hills/Creeks,16,3,25,P,G,25G,1.934,-0.119,G 21-25,slight left,slightly long,0,4,25,G 21-25,-1
"August 1, 2022",Comanche Hills/Creeks,16,4,3,P,G,3G,1.053,0.053,G 0-3,good,good,0,4,3,G 0-3,0
"August 1, 2022",Comanche Hills/Creeks,17,1,561,D,T,561T,4.74,0.16,250 +,good,good,0,5,555,250 +,-4
"August 1, 2022",Comanche Hills/Creeks,17,2,250,H,F,250F,3.58,-0.82,226-250,way left,good,0,5,247,226-250,-3
"August 1, 2022",Comanche Hills/Creeks,17,3,50,8,X,50X,3.4,-0.4,26-50,pretty left,good,0,5,52,26-50,-2
"August 1, 2022",Comanche Hills/Creeks,17,4,20,PW,X,20X,2.8,-0.6,0-25,good,good,0,5,12,0-25,-1
"August 1, 2022",Comanche Hills/Creeks,17,5,10,P,F,10F,2.4,-0.043,0-25,pretty left,pretty long,0,5,10,0-25,0
"August 1, 2022",Comanche Hills/Creeks,17,6,7,P,G,7G,1.443,0.443,G 7-9,good,good,0,5,7,G 7-9,1
"August 1, 2022",Comanche Hills/Creeks,18,1,447,2,T,447T,4.08,0.1,250 +,slight left,good,0,4,442,250 +,-3
"August 1, 2022",Comanche Hills/Creeks,18,2,156,50,F,156F,2.98,0.102,151-175,pretty right,good,0,4,161,151-175,-2
"August 1, 2022",Comanche Hills/Creeks,18,3,20,P,G,20G,1.878,-0.123,G 16-20,good,good,0,4,20,G 16-20,-1
"August 1, 2022",Comanche Hills/Creeks,18,4,1,P,G,1G,1.001,0.001,G 0-3,good,good,0,4,1,G 0-3,0
